ID	XX/04	XX/08	XX/14	XX/17
AA/01/94	640	640	101	20
AA/01/97	640	1280	320	40
AA/01/99	320	320	20	10
AA/02/99	160	320	160	10
AA/01/00	1016	2560	640	80
AA/02/00	640	1016	160	80
AA/01/01	640	1280	80	20
AA/02/01	320	254	20	10
AA/01/02	640	1280	160	1280
AA/02/02	640	2560	320	80
AA/01/03	806	640	80	40
AA/01/04	640	403	40	10
AA/01/05	20	50	0	10
AA/02/05	1280	3225	1280	160
AA/01/06	403	160	20	20
AA/01/07	640	6451	160	1280
AA/01/08	640	1016	202	80
AA/02/08	640	640	320	40
AA/01/10	1280	3225	1280	160
AA/02/10	640	640	320	40
AA/01/13	160	320	101	80
AA/02/13	80	202	40	80
AA/03/13	1280	3225	2560	160
AA/04/13	20	40	40	160
AA/05/13	80	320	80	80
AA/06/13	508	640	320	160
AA/01/14	2032	3225	6451	320
AA/02/14	20	40	10	40
AA/03/14	640	640	160	20480
AA/04/14	80	160	40	640
AA/05/14	40	80	20	320
AA/06/14	80	320	40	2560
AA/07/14	40	160	40	1280
AA/01/15	2032	8127	2560	320
AA/02/15	80	1280	40	20
AA/03/15	1613	5120	2560	160
AA/04/15	160	254	101	1613
AA/05/15	80	160	80	5120
AA/06/15	3225	4064	1280	320
AA/07/15	202	640	80	6451
AA/08/15	2032	5120	2032	160
AA/09/15	80	160	40	1016
AA/10/15	80	320	80	1280
AA/11/15	2560	20480	2560	160
AA/12/15	80	320	40	1280
AA/13/15	160	320	80	5120
AA/14/15	80	160	40	1280
AA/15/15	80	320	80	640
AA/16/15	80	254	80	1280
AA/17/15	160	640	80	3225
AA/18/15	80	320	63	2560
AA/19/15	160	320	80	1280
AA/20/15	40	101	20	1280
AA/01/16	40	806	40	806
AA/02/16	160	403	80	5120
AA/03/16	80	80	20	1280
AA/04/16	101	80	40	2560
AA/05/16	40	160	20	2032
AA/06/16	160	202	254	1280
AA/07/16	160	640	80	8127
AA/08/16	160	160	80	1280
AA/09/16	160	160	80	2560
AA/10/16	160	806	40	5120
AA/11/16	160	640	80	6451
AA/12/16	160	640	80	5120
AA/13/16	320	320	160	2560
AA/14/16	80	320	40	2560
AA/15/16	80	80	40	1280
AA/16/16	160	160	40	2032
AA/17/16	160	640	80	8127
AA/01/17	1280	2560	1016	160
AA/02/17	160	640	40	10240
AA/03/17	80	80	40	1280
AA/04/17	80	640	40	5120
AA/05/17	160	640	40	5120
AA/06/17	40	160	50	2560
AA/07/17	80	320	40	5120
AA/08/17	160	806	40	5120
AA/09/17	160	160	80	2560
AA/10/17	160	640	80	5120
AA/11/17	160	320	80	2560
AA/12/17	160	508	80	5120
AA/13/17	160	640	80	5120
AA/14/17	80	320	40	3225
AA/15/17	160	101	80	2560
